@relation fishcatch

@attribute Species {1,2,3,4,5,6,7}
@attribute Length1 numeric
@attribute Length2 numeric
@attribute Length3 numeric
@attribute Height numeric
@attribute Width numeric
@attribute Sex {1,0}
@attribute binaryClass {P,N}

@data
1,23.2,25.4,30,38.4,13.4,?,P
1,24,26.3,31.2,40,13.8,?,P
1,23.9,26.5,31.1,39.8,15.1,?,P
1,26.3,29,33.5,38,13.3,?,P
1,26.5,29,34,36.6,15.1,?,N
1,26.8,29.7,34.7,39.2,14.2,?,N
1,26.8,29.7,34.5,41.1,15.3,?,N
1,27.6,30,35,36.2,13.4,?,P
1,27.6,30,35.1,39.9,13.8,?,N
1,28.5,30.7,36.2,39.3,13.7,?,N
1,28.4,31,36.2,39.4,14.1,?,N
1,28.7,31,36.2,39.7,13.3,?,N
1,29.1,31.5,36.4,37.8,12,?,N
1,29.4,32,37.2,40.2,13.9,1,N
1,29.4,32,37.2,41.5,15,?,N
1,30.4,33,38.3,38.8,13.8,1,N
1,30.4,33,38.5,38.8,13.5,?,N
1,30.9,33.5,38.6,40.5,13.3,?,N
1,31,33.5,38.7,37.4,14.8,?,N
1,31.3,34,39.5,38.3,14.1,1,N
1,31.4,34,39.2,40.8,13.7,?,N
1,31.5,34.5,39.7,39.1,13.3,?,N
1,31.8,35,40.6,38.1,15.1,?,N
1,31.9,35,40.5,40.1,13.8,?,N
1,31.8,35,40.9,40,14.8,1,N
1,32,35,40.6,40.3,15,?,N
1,32.7,36,41.5,39.8,14.1,?,N
1,32.8,36,41.6,40.6,14.9,?,N
1,33.5,37,42.6,44.5,15.5,0,N
1,35,38.5,44.1,40.9,14.3,0,N
1,35,38.5,44,41.1,14.3,?,N
1,36.2,39.5,45.3,41.4,14.9,1,N
1,37.4,41,45.9,40.6,14.7,0,N
1,38,41,46.5,37.9,13.7,?,N
2,23.6,26,28.7,29.2,14.8,?,P
2,24.1,26.5,29.3,27.8,14.5,?,P
2,25.6,28,30.8,28.5,15.2,?,P
2,28.5,31,34,31.6,19.3,?,N
2,33.7,36.4,39.6,29.7,16.6,0,N
2,37.3,40,43.5,28.4,15,?,N
3,12.9,14.1,16.2,25.6,14,?,P
3,16.5,18.2,20.3,26.1,13.9,?,P
3,17.5,18.8,21.2,26.3,13.7,?,P
3,18.2,19.8,22.2,25.3,14.3,?,P
3,18.6,20,22.2,28,16.1,?,P
3,19,20.5,22.8,28.4,14.7,?,P
3,19.1,20.8,23.1,26.7,14.7,0,P
3,19.4,21,23.7,25.8,13.9,0,P
3,20.4,22,24.7,23.5,15.2,0,P
3,20.5,22,24.3,27.3,14.6,0,P
3,20.5,22.5,25.3,27.8,15.1,0,P
3,21,22.5,25,26.2,13.3,?,P
3,21.1,22.5,25,25.6,15.2,0,P
3,22,24,27.2,27.7,14.1,?,P
3,22,23.4,26.7,25.9,13.6,?,P
3,22.1,23.5,26.8,27.6,15.4,0,P
3,23.6,25.2,27.9,25.4,14,?,P
3,24,26,29.2,30.4,15.4,?,P
3,25,27,30.6,28,15.6,0,P
3,29.5,31.7,35,27.1,15.3,?,P
4,13.5,14.7,16.5,41.5,14.1,?,P
4,14.3,15.5,17.4,37.8,13.3,1,P
4,16.3,17.7,19.8,37.4,13.5,1,P
4,17.5,19,21.3,39.4,13.7,1,P
4,18.4,20,22.4,39.7,14.7,?,P
4,19,20.7,23.2,36.8,14.2,?,P
4,19,20.7,23.2,40.5,14.7,0,P
4,19.8,21.5,24.1,40.4,13.1,0,P
4,21.2,23,25.8,40.1,14.2,?,P
4,23,25,28,39.6,14.8,0,P
4,24,26,29,39.2,14.6,0,P
5,9.3,9.8,10.8,16.1,9.7,1,P
5,10,10.5,11.6,17,10,0,P
5,10.1,10.6,11.6,14.9,9.9,1,P
