@relation auto93.names

@attribute Manufacturer {Acura,Audi,BMW,Buick,Cadillac,Chevrolet,Chrysler,Dodge,Eagle,Ford,Geo,Honda,Hyundai,Infiniti,Lexus,Lincoln,Mazda,Mercedes-Benz,Mercury,Mitsubishi,Nissan,Oldsmobile,Plymouth,Pontiac,Saab,Saturn,Subaru,Suzuki,Toyota,Volkswagen,Volvo}
@attribute Type {Small,Midsize,Compact,Large,Sporty,Van}
@attribute City_MPG numeric
@attribute Highway_MPG numeric
@attribute Air_Bags_standard {0,2,1}
@attribute Drive_train_type {1,0,2}
@attribute Number_of_cylinders numeric
@attribute Engine_size numeric
@attribute Horsepower numeric
@attribute RPM numeric
@attribute Engine_revolutions_per_mile numeric
@attribute Manual_transmission_available {1,0}
@attribute Fuel_tank_capacity numeric
@attribute Passenger_capacity numeric
@attribute Length numeric
@attribute Wheelbase numeric
@attribute Width numeric
@attribute U-turn_space numeric
@attribute Rear_seat_room numeric
@attribute Luggage_capacity numeric
@attribute Weight numeric
@attribute Domestic {0,1}
@attribute binaryClass {P,N}

@data
Acura,Small,25,31,0,1,4,1.8,140,6300,2890,1,13.2,5,177,102,68,37,26.5,11,2705,0,P
Acura,Midsize,18,25,2,1,6,3.2,200,5500,2335,1,18,5,195,115,71,38,30,15,3560,0,N
Audi,Compact,20,26,1,1,6,2.8,172,5500,2280,1,16.9,5,180,102,67,37,28,14,3375,0,N
Audi,Midsize,19,26,2,1,6,2.8,172,5500,2535,1,21.1,6,193,106,70,37,31,17,3405,0,N
BMW,Midsize,22,30,1,0,4,3.5,208,5700,2545,1,21.1,4,186,109,69,39,27,13,3640,0,N
Buick,Midsize,22,31,1,1,4,2.2,110,5200,2565,0,16.4,6,189,105,69,41,28,16,2880,1,P
Buick,Large,19,28,1,1,6,3.8,170,4800,1570,0,18,6,200,111,74,42,30.5,17,3470,1,N
Buick,Large,16,25,1,0,6,5.7,180,4000,1320,0,23,6,216,116,78,45,30.5,21,4105,1,N
Buick,Midsize,19,27,1,1,6,3.8,170,4800,1690,0,18.8,5,198,108,73,41,26.5,14,3495,1,N
Cadillac,Large,16,25,1,1,8,4.9,200,4100,1510,0,18,6,206,114,73,43,35,18,3620,1,N
Cadillac,Midsize,16,25,2,1,8,4.6,295,6000,1985,0,20,5,204,111,74,44,31,14,3935,1,N
Chevrolet,Compact,25,36,0,1,4,2.2,110,5200,2380,1,15.2,5,182,101,66,38,25,13,2490,1,P
