@relation analcatdata-broadwaymult

@attribute Show {1776,A_Dolls_House,A_Thousand_Clowns,A_View_From_the_Bridge,Ah_Wilderness!,Amys_View,An_American_Daughter,Annie,Annie_Get_Your_Gun,Art,Band_in_Berlin,Barrymore,Cabaret,Candide,Chicago,Closer,Death_of_a_Salesman,Dream_-_The_Johnny_Mercer_Musical,Electra,Eugene_Onegin,Footloose,Forever_Tango,Fosse!,Getting_and_Spending,God_Said_Ha!,Golden_Child,High_Society,Honour,Hughie,Into_the_Whirlwind,It_Aint_Nothin_But_the_Blues,Ivanov,Jackie_-_An_American_Life,Jekyll_and_Hyde,Juan_Darien_-_A_Carnival_Mass,King_David,Little_Me,London_Assurance,Marlene,More_to_Love,Night_Must_Fall,Not_About_Nightingales,On_the_Town,Once_Upon_a_Mattress,Parade,Peter_Pan,Play_On!,Present_Laughter,Proposals,Ragtime,Ring_Around_the_Moon,Rolling_on_the_T.O.B.A.,Sex_and_Longing,Side_Man,Side_Show,Skylight,Stanley,Steel_Pier,Street_Corner_Symphony,Summer_and_Smoke,Swan_Lake,Taking_Sides,The_Beauty_Queen_of_Leenane,The_Blue_Room,The_Capeman,The_Chairs,The_Cherry_Orchard,The_Civil_War:_An_American_Musical,The_Deep_Blue_Sea,The_Diary_of_Anne_Frank,The_Gershwins_Fascinating_Rhythm,The_Gin_Game,The_Herbal_Bed,The_Iceman_Cometh,The_Judas_Kiss,The_Last_Night_of_Ballyhoo,The_Life,The_Lion_King,The_Lion_in_Winter,The_Little_Foxes,The_Lonesome_West,The_Old_Neighborhood,The_Rehearsal,The_Scarlet_Pimpernel,The_Sound_of_Music,The_Sunshine_Boys,The_Three_Sisters_(1),The_Three_Sisters_(2),The_Weir,The_Young_Man_From_Atlanta,Titanic,Triumph_of_Love,Twelfth_Night,Wait_Until_Dark,Youre_a_Good_Man_Charlie_Brown}
@attribute Type {Musical,Musical_revue,Play}
@attribute Revival {No,Yes}
@attribute NYT_rating numeric
@attribute DN_rating numeric
@attribute Week_1_attendance numeric
@attribute Award {Losing_nomination,No_nomination,Win}
@attribute binaryClass {P,N}

@data
A_Dolls_House,Play,Yes,5,2.66667,87.13,No_nomination,N
A_Dolls_House,Play,Yes,5,2.66667,87.13,Losing_nomination,P
A_Dolls_House,Play,Yes,5,2.66667,87.13,Win,N
A_Thousand_Clowns,Play,Yes,1.66667,2,100,No_nomination,N
A_Thousand_Clowns,Play,Yes,1.66667,2,100,Losing_nomination,P
A_Thousand_Clowns,Play,Yes,1.66667,2,100,Win,P
A_View_From_the_Bridge,Play,Yes,4.66667,2.33333,88.44,No_nomination,N
A_View_From_the_Bridge,Play,Yes,4.66667,2.33333,88.44,Losing_nomination,N
A_View_From_the_Bridge,Play,Yes,4.66667,2.33333,88.44,Win,N
Ah_Wilderness!,Play,Yes,3.66667,4.66667,68.14,No_nomination,N
Ah_Wilderness!,Play,Yes,3.66667,4.66667,68.14,Losing_nomination,N
Ah_Wilderness!,Play,Yes,3.66667,4.66667,68.14,Win,P
Amys_View,Play,No,3.66667,4.66667,90.72,No_nomination,N
Amys_View,Play,No,3.66667,4.66667,90.72,Losing_nomination,N
Amys_View,Play,No,3.66667,4.66667,90.72,Win,N
An_American_Daughter,Play,No,2.33333,2.33333,77.09,No_nomination,N
An_American_Daughter,Play,No,2.33333,2.33333,77.09,Losing_nomination,P
An_American_Daughter,Play,No,2.33333,2.33333,77.09,Win,N
Annie,Musical,Yes,1.66667,3,84.8,No_nomination,N
Annie,Musical,Yes,1.66667,3,84.8,Losing_nomination,N
Annie,Musical,Yes,1.66667,3,84.8,Win,P
Annie_Get_Your_Gun,Musical,Yes,2,4.33333,89.2,No_nomination,N
Annie_Get_Your_Gun,Musical,Yes,2,4.33333,89.2,Losing_nomination,N
Annie_Get_Your_Gun,Musical,Yes,2,4.33333,89.2,Win,N
Art,Play,No,4.66667,4.66667,90.35,No_nomination,N
Art,Play,No,4.66667,4.66667,90.35,Losing_nomination,N
Art,Play,No,4.66667,4.66667,90.35,Win,N
Band_in_Berlin,Musical,No,1.66667,3.33333,48.38,No_nomination,N
Band_in_Berlin,Musical,No,1.66667,3.33333,48.38,Losing_nomination,P
Band_in_Berlin,Musical,No,1.66667,3.33333,48.38,Win,P
Barrymore,Play,No,4.33333,3.66667,53.69,No_nomination,N
Barrymore,Play,No,4.33333,3.66667,53.69,Losing_nomination,P
Barrymore,Play,No,4.33333,3.66667,53.69,Win,N
Cabaret,Musical,Yes,3.66667,5,92.19,No_nomination,P
Cabaret,Musical,Yes,3.66667,5,92.19,Losing_nomination,N
Cabaret,Musical,Yes,3.66667,5,92.19,Win,N
Candide,Musical,Yes,3,1.33333,82.61,No_nomination,N
Candide,Musical,Yes,3,1.33333,82.61,Losing_nomination,N
Candide,Musical,Yes,3,1.33333,82.61,Win,P
Chicago,Musical,Yes,5,5,97.02,No_nomination,N
Chicago,Musical,Yes,5,5,97.02,Losing_nomination,N
Chicago,Musical,Yes,5,5,97.02,Win,N
Closer,Play,No,1.66667,2.66667,88.91,No_nomination,N
Closer,Play,No,1.66667,2.66667,88.91,Losing_nomination,N
Closer,Play,No,1.66667,2.66667,88.91,Win,P
Death_of_a_Salesman,Play,Yes,5,5,86.67,No_nomination,P
Death_of_a_Salesman,Play,Yes,5,5,86.67,Losing_nomination,N
Death_of_a_Salesman,Play,Yes,5,5,86.67,Win,N
Dream_-_The_Johnny_Mercer_Musical,Musical_revue,No,1.66667,2,72.53,No_nomination,N
Dream_-_The_Johnny_Mercer_Musical,Musical_revue,No,1.66667,2,72.53,Losing_nomination,P
Dream_-_The_Johnny_Mercer_Musical,Musical_revue,No,1.66667,2,72.53,Win,P
Electra,Play,Yes,4.66667,4.33333,92.97,No_nomination,N
Electra,Play,Yes,4.66667,4.33333,92.97,Losing_nomination,N
Electra,Play,Yes,4.66667,4.33333,92.97,Win,P
Eugene_Onegin,Musical,Yes,?,?,40.66,No_nomination,N
Eugene_Onegin,Musical,Yes,?,?,40.66,Losing_nomination,P
Eugene_Onegin,Musical,Yes,?,?,40.66,Win,P
Footloose,Musical,No,1.33333,1.33333,70.07,No_nomination,N
Footloose,Musical,No,1.33333,1.33333,70.07,Losing_nomination,N
Footloose,Musical,No,1.33333,1.33333,70.07,Win,P
Forever_Tango,Musical_revue,No,2.66667,4,76.97,No_nomination,N
Forever_Tango,Musical_revue,No,2.66667,4,76.97,Losing_nomination,P
Forever_Tango,Musical_revue,No,2.66667,4,76.97,Win,P
Fosse!,Musical_revue,No,3,4,97.24,No_nomination,N
Fosse!,Musical_revue,No,3,4,97.24,Losing_nomination,N
Fosse!,Musical_revue,No,3,4,97.24,Win,N
Getting_and_Spending,Play,No,1.66667,1.66667,30.83,No_nomination,N
Getting_and_Spending,Play,No,1.66667,1.66667,30.83,Losing_nomination,P
Getting_and_Spending,Play,No,1.66667,1.66667,30.83,Win,P
God_Said_Ha!,Play,No,4.66667,2.33333,50.1,No_nomination,N
God_Said_Ha!,Play,No,4.66667,2.33333,50.1,Losing_nomination,P
God_Said_Ha!,Play,No,4.66667,2.33333,50.1,Win,P
Golden_Child,Play,No,2,1.66667,40.04,No_nomination,N
Golden_Child,Play,No,2,1.66667,40.04,Losing_nomination,N
Golden_Child,Play,No,2,1.66667,40.04,Win,P
High_Society,Musical,No,1.66667,2,64.87,No_nomination,N
High_Society,Musical,No,1.66667,2,64.87,Losing_nomination,N
High_Society,Musical,No,1.66667,2,64.87,Win,P
Honour,Play,No,3.33333,3.33333,46.75,No_nomination,N
Honour,Play,No,3.33333,3.33333,46.75,Losing_nomination,N
Honour,Play,No,3.33333,3.33333,46.75,Win,P
Hughie,Play,Yes,4,2,101.58,No_nomination,N
Hughie,Play,Yes,4,2,101.58,Losing_nomination,P
Hughie,Play,Yes,4,2,101.58,Win,P
Into_the_Whirlwind,Play,No,?,?,?,No_nomination,N
Into_the_Whirlwind,Play,No,?,?,?,Losing_nomination,P
Into_the_Whirlwind,Play,No,?,?,?,Win,P
It_Aint_Nothin_But_the_Blues,Musical_revue,No,4.33333,4.33333,49.4,No_nomination,N
It_Aint_Nothin_But_the_Blues,Musical_revue,No,4.33333,4.33333,49.4,Losing_nomination,N
It_Aint_Nothin_But_the_Blues,Musical_revue,No,4.33333,4.33333,49.4,Win,P
Ivanov,Play,Yes,4,1.66667,92.1,No_nomination,N
Ivanov,Play,Yes,4,1.66667,92.1,Losing_nomination,N
Ivanov,Play,Yes,4,1.66667,92.1,Win,P
Jackie_-_An_American_Life,Play,No,2.33333,1.66667,34.74,No_nomination,N
Jackie_-_An_American_Life,Play,No,2.33333,1.66667,34.74,Losing_nomination,P
Jackie_-_An_American_Life,Play,No,2.33333,1.66667,34.74,Win,P
Jekyll_and_Hyde,Musical,No,1.66667,4,67.76,No_nomination,N
Jekyll_and_Hyde,Musical,No,1.66667,4,67.76,Losing_nomination,N
Jekyll_and_Hyde,Musical,No,1.66667,4,67.76,Win,P
Juan_Darien_-_A_Carnival_Mass,Musical,No,3.66667,4,50.76,No_nomination,N
Juan_Darien_-_A_Carnival_Mass,Musical,No,3.66667,4,50.76,Losing_nomination,N
Juan_Darien_-_A_Carnival_Mass,Musical,No,3.66667,4,50.76,Win,P
King_David,Musical,No,2,2.33333,68.75,No_nomination,N
King_David,Musical,No,2,2.33333,68.75,Losing_nomination,P
King_David,Musical,No,2,2.33333,68.75,Win,P
Little_Me,Musical,Yes,3,2.66667,90.61,No_nomination,N
Little_Me,Musical,Yes,3,2.66667,90.61,Losing_nomination,N
Little_Me,Musical,Yes,3,2.66667,90.61,Win,N
London_Assurance,Play,Yes,4.66667,5,95.54,No_nomination,N
London_Assurance,Play,Yes,4.66667,5,95.54,Losing_nomination,N
London_Assurance,Play,Yes,4.66667,5,95.54,Win,P
Marlene,Musical,No,1.66667,2,56.26,No_nomination,N
Marlene,Musical,No,1.66667,2,56.26,Losing_nomination,N
Marlene,Musical,No,1.66667,2,56.26,Win,P
More_to_Love,Play,No,1.33333,2,?,No_nomination,N
More_to_Love,Play,No,1.33333,2,?,Losing_nomination,P
More_to_Love,Play,No,1.33333,2,?,Win,P
Night_Must_Fall,Play,Yes,4.33333,1.66667,73.27,No_nomination,N
