@relation cars

@attribute name {amc_ambassador_brougham,amc_ambassador_dpl,amc_ambassador_sst,amc_concord,amc_concord_d/l,amc_concord_dl,amc_concord_dl_6,amc_gremlin,amc_hornet,amc_hornet_sportabout_(sw),amc_matador,amc_matador_(sw),amc_pacer,amc_pacer_d/l,amc_rebel_sst,amc_rebel_sst_(sw),amc_spirit_dl,audi_100_ls,audi_100ls,audi_4000,audi_5000,audi_5000s_(diesel),audi_fox,bmw_2002,bmw_320i,buick_century,buick_century_350,buick_century_limited,buick_century_luxus_(sw),buick_century_special,buick_electra_225_custom,buick_estate_wagon_(sw),buick_lesabre_custom,buick_opel_isuzu_deluxe,buick_regal_sport_coupe_(turbo),buick_skyhawk,buick_skylark,buick_skylark_320,buick_skylark_limited,cadillac_eldorado,cadillac_seville,capri_ii,chevroelt_chevelle_malibu,chevrolet_bel_air,chevrolet_camaro,chevrolet_caprice_classic,chevrolet_cavalier,chevrolet_cavalier_2-door,chevrolet_cavalier_wagon,chevrolet_chevelle_concours_(sw),chevrolet_chevelle_malibu,chevrolet_chevelle_malibu_classic,chevrolet_chevette,chevrolet_citation,chevrolet_concours,chevrolet_impala,chevrolet_malibu,chevrolet_malibu_classic_(sw),chevrolet_monte_carlo,chevrolet_monte_carlo_landau,chevrolet_monte_carlo_s,chevrolet_monza_2+2,chevrolet_nova,chevrolet_nova_custom,chevrolet_vega,chevrolet_vega_(sw),chevrolet_vega_2300,chevrolet_woody,chevy_c10,chevy_c20,chevy_s-10,chrysler_cordoba,chrysler_lebaron_medallion,chrysler_lebaron_salon,chrysler_lebaron_town_@_country_(sw),chrysler_new_yorker_brougham,chrysler_newport_royal,citroen_ds-21_pallas,datsun_1200,datsun_200-sx,datsun_200sx,datsun_210,datsun_210_mpg,datsun_280-zx,datsun_310,datsun_310_gx,datsun_510,datsun_510_(sw),datsun_510_hatchback,datsun_610,datsun_710,datsun_810,datsun_810_maxima,datsun_b-210,datsun_b210,datsun_b210_gx,datsun_f-10_hatchback,datsun_pl510,dodge_aries_se,dodge_aries_wagon_(sw),dodge_aspen,dodge_aspen_6,dodge_aspen_se,dodge_challenger_se,dodge_charger_2.2,dodge_colt,dodge_colt_(sw),dodge_colt_hardtop,dodge_colt_hatchback_custom,dodge_colt_m/m,dodge_coronet_brougham,dodge_coronet_custom,dodge_coronet_custom_(sw),dodge_d100,dodge_d200,dodge_dart_custom,dodge_diplomat,dodge_magnum_xe,dodge_monaco_(sw),dodge_monaco_brougham,dodge_omni,dodge_rampage,dodge_st._regis,fiat_124_sport_coupe,fiat_124_tc,fiat_124b,fiat_128,fiat_131,fiat_strada_custom,fiat_x1.9,ford_country,ford_country_squire_(sw),ford_escort_2h,ford_escort_4w,ford_f108,ford_f250,ford_fairmont,ford_fairmont_(auto),ford_fairmont_(man),ford_fairmont_4,ford_fairmont_futura,ford_fiesta,ford_futura,ford_galaxie_500,ford_gran_torino,ford_gran_torino_(sw),ford_granada,ford_granada_ghia,ford_granada_gl,ford_granada_l,ford_ltd,ford_ltd_landau,ford_maverick,ford_mustang,ford_mustang_boss_302,ford_mustang_cobra,ford_mustang_gl,ford_mustang_ii,ford_mustang_ii_2+2,ford_pinto,ford_pinto_(sw),ford_pinto_runabout,ford_ranger,ford_thunderbird,ford_torino,ford_torino_(sw),ford_torino_500,hi_1200d,honda_accord,honda_accord_cvcc,honda_accord_lx,honda_civic,honda_civic_(auto),honda_civic_1300,honda_civic_1500_gl,honda_civic_cvcc,honda_prelude,maxda_glc_deluxe,maxda_rx3,mazda_626,mazda_glc,mazda_glc_4,mazda_glc_custom,mazda_glc_custom_l,mazda_glc_deluxe,mazda_rx-4,mazda_rx-7_gs,mazda_rx2_coupe,mercedes-benz_240d,mercedes-benz_280s,mercedes_benz_300d,mercury_capri_2000,mercury_capri_v6,mercury_cougar_brougham,mercury_grand_marquis,mercury_lynx_l,mercury_marquis,mercury_marquis_brougham,mercury_monarch,mercury_monarch_ghia,mercury_zephyr,mercury_zephyr_6,nissan_stanza_xe,oldsmobile_cutlass_ciera_(diesel),oldsmobile_cutlass_ls,oldsmobile_cutlass_salon_brougham,oldsmobile_cutlass_supreme,oldsmobile_delta_88_royale,oldsmobile_omega,oldsmobile_omega_brougham,oldsmobile_starfire_sx,oldsmobile_vista_cruiser,opel_1900,opel_manta,peugeot_304,peugeot_504,peugeot_504_(sw),peugeot_505s_turbo_diesel,peugeot_604sl,plymouth_arrow_gs,plymouth_champ,plymouth_cricket,plymouth_cuda_340,plymouth_custom_suburb,plymouth_duster,plymouth_fury,plymouth_fury_gran_sedan,plymouth_fury_iii,plymouth_grand_fury,plymouth_horizon,plymouth_horizon_4,plymouth_horizon_miser,plymouth_horizon_tc3,plymouth_reliant,plymouth_sapporo,plymouth_satellite,plymouth_satellite_(sw),plymouth_satellite_custom,plymouth_satellite_custom_(sw),plymouth_satellite_sebring,plymouth_valiant,plymouth_valiant_custom,plymouth_volare,plymouth_volare_custom,plymouth_volare_premier_v8,pontiac_astro,pontiac_catalina,pontiac_catalina_brougham,pontiac_firebird,pontiac_grand_prix,pontiac_grand_prix_lj,pontiac_j2000_se_hatchback,pontiac_lemans_v6,pontiac_phoenix,pontiac_phoenix_lj,pontiac_safari_(sw),pontiac_sunbird_coupe,pontiac_ventura_sj,renault_12_(sw),renault_12tl,renault_18i,renault_5_gtl,renault_lecar_deluxe,saab_900s,saab_99e,saab_99gle,saab_99le,subaru,subaru_dl,toyota_carina,toyota_celica_gt,toyota_celica_gt_liftback,toyota_corolla,toyota_corolla_1200,toyota_corolla_1600_(sw),toyota_corolla_liftback,toyota_corolla_tercel,toyota_corona,toyota_corona_hardtop,toyota_corona_liftback,toyota_corona_mark_ii,toyota_cressida,toyota_mark_ii,toyota_starlet,toyota_tercel,toyouta_corona_mark_ii_(sw),triumph_tr7_coupe,vokswagen_rabbit,volkswagen_1131_deluxe_sedan,volkswagen_411_(sw),volkswagen_dasher,volkswagen_jetta,volkswagen_model_111,volkswagen_rabbit,volkswagen_rabbit_custom,volkswagen_rabbit_custom_diesel,volkswagen_rabbit_l,volkswagen_scirocco,volkswagen_super_beetle,volkswagen_super_beetle_117,volkswagen_type_3,volvo_144ea,volvo_145e_(sw),volvo_244dl,volvo_245,volvo_264gl,volvo_diesel,vw_dasher_(diesel),vw_pickup,vw_rabbit,vw_rabbit_c_(diesel),vw_rabbit_custom}
@attribute mpg numeric
@attribute cylinders {3,4,5,6,8}
@attribute displacement numeric
@attribute horsepower numeric
@attribute weight numeric
@attribute acceleration numeric
@attribute model.year numeric
@attribute binaryClass {P,N}

@data
chevrolet_chevelle_malibu,18,8,307,130,3504,12,70,P
buick_skylark_320,15,8,350,165,3693,11.5,70,P
plymouth_satellite,18,8,318,150,3436,11,70,P
amc_rebel_sst,16,8,304,150,3433,12,70,P
ford_torino,17,8,302,140,3449,10.5,70,P
ford_galaxie_500,15,8,429,198,4341,10,70,P
chevrolet_impala,14,8,454,220,4354,9,70,P
plymouth_fury_iii,14,8,440,215,4312,8.5,70,P
pontiac_catalina,14,8,455,225,4425,10,70,P
amc_ambassador_dpl,15,8,390,190,3850,8.5,70,P
citroen_ds-21_pallas,?,4,133,115,3090,17.5,70,N
chevrolet_chevelle_concours_(sw),?,8,350,165,4142,11.5,70,P
ford_torino_(sw),?,8,351,153,4034,11,70,P
plymouth_satellite_(sw),?,8,383,175,4166,10.5,70,P
amc_rebel_sst_(sw),?,8,360,175,3850,11,70,P
dodge_challenger_se,15,8,383,170,3563,10,70,P
plymouth_cuda_340,14,8,340,160,3609,8,70,P
ford_mustang_boss_302,?,8,302,140,3353,8,70,P
chevrolet_monte_carlo,15,8,400,150,3761,9.5,70,P
buick_estate_wagon_(sw),14,8,455,225,3086,10,70,P
toyota_corona_mark_ii,24,4,113,95,2372,15,70,N
plymouth_duster,22,6,198,95,2833,15.5,70,P
amc_hornet,18,6,199,97,2774,15.5,70,P
ford_maverick,21,6,200,85,2587,16,70,P
datsun_pl510,27,4,97,88,2130,14.5,70,N
volkswagen_1131_deluxe_sedan,26,4,97,46,1835,20.5,70,N
peugeot_504,25,4,110,87,2672,17.5,70,N
audi_100_ls,24,4,107,90,2430,14.5,70,N
saab_99e,25,4,104,95,2375,17.5,70,N
bmw_2002,26,4,121,113,2234,12.5,70,N
amc_gremlin,21,6,199,90,2648,15,70,P
ford_f250,10,8,360,215,4615,14,70,P
chevy_c20,10,8,307,200,4376,15,70,P
dodge_d200,11,8,318,210,4382,13.5,70,P
hi_1200d,9,8,304,193,4732,18.5,70,P
datsun_pl510,27,4,97,88,2130,14.5,71,N
chevrolet_vega_2300,28,4,140,90,2264,15.5,71,P
toyota_corona,25,4,113,95,2228,14,71,N
ford_pinto,25,4,98,?,2046,19,71,P
volkswagen_super_beetle_117,?,4,97,48,1978,20,71,N
amc_gremlin,19,6,232,100,2634,13,71,P
plymouth_satellite_custom,16,6,225,105,3439,15.5,71,P
chevrolet_chevelle_malibu,17,6,250,100,3329,15.5,71,P
ford_torino_500,19,6,250,88,3302,15.5,71,P
amc_matador,18,6,232,100,3288,15.5,71,P
chevrolet_impala,14,8,350,165,4209,12,71,P
pontiac_catalina_brougham,14,8,400,175,4464,11.5,71,P
ford_galaxie_500,14,8,351,153,4154,13.5,71,P
plymouth_fury_iii,14,8,318,150,4096,13,71,P
dodge_monaco_(sw),12,8,383,180,4955,11.5,71,P
ford_country_squire_(sw),13,8,400,170,4746,12,71,P
pontiac_safari_(sw),13,8,400,175,5140,12,71,P
amc_hornet_sportabout_(sw),18,6,258,110,2962,13.5,71,P
chevrolet_vega_(sw),22,4,140,72,2408,19,71,P
pontiac_firebird,19,6,250,100,3282,15,71,P
ford_mustang,18,6,250,88,3139,14.5,71,P
mercury_capri_2000,23,4,122,86,2220,14,71,P
opel_1900,28,4,116,90,2123,14,71,N
peugeot_304,30,4,79,70,2074,19.5,71,N
fiat_124b,30,4,88,76,2065,14.5,71,N
toyota_corolla_1200,31,4,71,65,1773,19,71,N
datsun_1200,35,4,72,69,1613,18,71,N
volkswagen_model_111,27,4,97,60,1834,19,71,N
plymouth_cricket,26,4,91,70,1955,20.5,71,P
toyota_corona_hardtop,24,4,113,95,2278,15.5,72,N
dodge_colt_hardtop,25,4,97.5,80,2126,17,72,P
volkswagen_type_3,23,4,97,54,2254,23.5,72,N
chevrolet_vega,20,4,140,90,2408,19.5,72,P
ford_pinto_runabout,21,4,122,86,2226,16.5,72,P
chevrolet_impala,13,8,350,165,4274,12,72,P
pontiac_catalina,14,8,400,175,4385,12,72,P
plymouth_fury_iii,15,8,318,150,4135,13.5,72,P
ford_galaxie_500,14,8,351,153,4129,13,72,P
amc_ambassador_sst,17,8,304,150,3672,11.5,72,P
mercury_marquis,11,8,429,208,4633,11,72,P
buick_lesabre_custom,13,8,350,155,4502,13.5,72,P
oldsmobile_delta_88_royale,12,8,350,160,4456,13.5,72,P
chrysler_newport_royal,13,8,400,190,4422,12.5,72,P
mazda_rx2_coupe,19,3,70,97,2330,13.5,72,N
amc_matador_(sw),15,8,304,150,3892,12.5,72,P
chevrolet_chevelle_concours_(sw),13,8,307,130,4098,14,72,P
ford_gran_torino_(sw),13,8,302,140,4294,16,72,P
plymouth_satellite_custom_(sw),14,8,318,150,4077,14,72,P
volvo_145e_(sw),18,4,121,112,2933,14.5,72,N
volkswagen_411_(sw),22,4,121,76,2511,18,72,N
peugeot_504_(sw),21,4,120,87,2979,19.5,72,N
renault_12_(sw),26,4,96,69,2189,18,72,N
ford_pinto_(sw),22,4,122,86,2395,16,72,P
datsun_510_(sw),28,4,97,92,2288,17,72,N
toyouta_corona_mark_ii_(sw),23,4,120,97,2506,14.5,72,N
dodge_colt_(sw),28,4,98,80,2164,15,72,P
toyota_corolla_1600_(sw),27,4,97,88,2100,16.5,72,N
buick_century_350,13,8,350,175,4100,13,73,P
amc_matador,14,8,304,150,3672,11.5,73,P
chevrolet_malibu,13,8,350,145,3988,13,73,P
ford_gran_torino,14,8,302,137,4042,14.5,73,P
dodge_coronet_custom,15,8,318,150,3777,12.5,73,P
mercury_marquis_brougham,12,8,429,198,4952,11.5,73,P
chevrolet_caprice_classic,13,8,400,150,4464,12,73,P
ford_ltd,13,8,351,158,4363,13,73,P
plymouth_fury_gran_sedan,14,8,318,150,4237,14.5,73,P
chrysler_new_yorker_brougham,13,8,440,215,4735,11,73,P
buick_electra_225_custom,12,8,455,225,4951,11,73,P
amc_ambassador_brougham,13,8,360,175,3821,11,73,P
plymouth_valiant,18,6,225,105,3121,16.5,73,P
chevrolet_nova_custom,16,6,250,100,3278,18,73,P
amc_hornet,18,6,232,100,2945,16,73,P
ford_maverick,18,6,250,88,3021,16.5,73,P
plymouth_duster,23,6,198,95,2904,16,73,P
volkswagen_super_beetle,26,4,97,46,1950,21,73,N
chevrolet_impala,11,8,400,150,4997,14,73,P
ford_country,12,8,400,167,4906,12.5,73,P
plymouth_custom_suburb,13,8,360,170,4654,13,73,P
oldsmobile_vista_cruiser,12,8,350,180,4499,12.5,73,P
amc_gremlin,18,6,232,100,2789,15,73,P
toyota_carina,20,4,97,88,2279,19,73,N
chevrolet_vega,21,4,140,72,2401,19.5,73,P
