@relation analcatdata-birthday

@attribute Month {1/1/00,10/1/00,11/1/00,12/1/00,2/1/00,3/1/00,4/1/00,5/1/00,6/1/00,7/1/00,8/1/00}
@attribute Day {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@attribute Births numeric
@attribute binaryClass {P,N}

@data
1/1/00,1,7701,P
1/1/00,2,7527,N
1/1/00,3,8825,N
1/1/00,4,8859,N
1/1/00,5,9043,N
1/1/00,6,9208,N
1/1/00,7,8084,N
1/1/00,8,7611,P
1/1/00,9,9172,N
1/1/00,10,9089,N
1/1/00,11,9210,N
1/1/00,12,9259,N
1/1/00,13,9138,N
1/1/00,14,8299,N
1/1/00,15,7771,P
1/1/00,16,9458,N
1/1/00,17,9339,N
1/1/00,18,9120,N
1/1/00,19,9226,N
1/1/00,20,9305,N
1/1/00,21,7954,N
1/1/00,22,7560,P
1/1/00,23,9252,N
1/1/00,24,9416,N
1/1/00,25,9090,N
1/1/00,26,9387,N
1/1/00,27,8983,N
1/1/00,28,7946,N
1/1/00,29,7527,P
1/1/00,30,9184,N
1/1/00,31,9152,N
2/1/00,1,9159,N
2/1/00,2,9218,N
2/1/00,3,9167,N
2/1/00,4,8065,N
2/1/00,5,7804,P
2/1/00,6,9225,N
2/1/00,7,9328,N
2/1/00,8,9139,N
2/1/00,9,9247,N
2/1/00,10,9527,N
2/1/00,11,8144,N
2/1/00,12,7950,P
2/1/00,13,8966,N
2/1/00,14,9859,N
2/1/00,15,9285,N
2/1/00,16,9103,N
2/1/00,17,9238,N
2/1/00,18,8167,N
2/1/00,19,7695,P
2/1/00,20,9021,N
2/1/00,21,9252,N
2/1/00,22,9335,N
2/1/00,23,9268,N
2/1/00,24,9552,N
2/1/00,25,8313,N
2/1/00,26,7881,P
2/1/00,27,9262,N
2/1/00,28,9705,N
3/1/00,1,9132,N
3/1/00,2,9304,N
3/1/00,3,9431,N
3/1/00,4,8008,N
3/1/00,5,7791,P
3/1/00,6,9294,N
3/1/00,7,9573,N
3/1/00,8,9212,N
3/1/00,9,9218,N
3/1/00,10,9583,N
3/1/00,11,8144,N
3/1/00,12,7870,P
3/1/00,13,9022,N
3/1/00,14,9525,N
3/1/00,15,9284,N
3/1/00,16,9327,N
3/1/00,17,9480,N
3/1/00,18,7965,N
3/1/00,19,7729,P
3/1/00,20,9135,N
3/1/00,21,9663,N
3/1/00,22,9307,N
3/1/00,23,9159,N
3/1/00,24,9157,N
3/1/00,25,7874,N
3/1/00,26,7589,P
3/1/00,27,9100,N
3/1/00,28,9293,N
3/1/00,29,9195,N
3/1/00,30,8902,N
3/1/00,31,9318,N
4/1/00,1,8069,N
4/1/00,2,7691,P
4/1/00,3,9114,N
4/1/00,4,9439,N
4/1/00,5,8852,N
4/1/00,6,8969,N
4/1/00,7,9077,N
4/1/00,8,7890,N
4/1/00,9,7445,P
4/1/00,10,8870,N
4/1/00,11,9023,N
4/1/00,12,8606,N
4/1/00,13,8724,N
4/1/00,14,9012,N
4/1/00,15,7527,N
4/1/00,16,7193,P
4/1/00,17,8702,N
4/1/00,18,9205,N
4/1/00,19,8720,N
4/1/00,20,8582,N
4/1/00,21,8892,N
4/1/00,22,7787,N
4/1/00,23,7304,P
4/1/00,24,9017,N
4/1/00,25,9077,N
4/1/00,26,9019,N
4/1/00,27,8839,N
4/1/00,28,9047,N
4/1/00,29,7750,N
4/1/00,30,7135,P
5/1/00,1,8900,N
5/1/00,2,9422,N
5/1/00,3,9051,N
5/1/00,4,8672,N
5/1/00,5,9101,N
5/1/00,6,7718,N
5/1/00,7,7388,P
5/1/00,8,8987,N
5/1/00,9,9307,N
5/1/00,10,9273,N
5/1/00,11,8903,N
5/1/00,12,8975,N
5/1/00,13,7762,N
5/1/00,14,7382,P
5/1/00,15,9195,N
5/1/00,16,9200,N
