@relation analcatdata-gviolence

@attribute Title {101_Dalmations,A_Boy_Named_Charlie_Brown,A_Bugs_Life,A_Goofy_Movie,Aladdin,Alice_in_Wonderland,All_Dogs_Go_to_Heaven,All_Dogs_Go_to_Heaven_2,An_American_Tail,An_American_Tail:_Fievel_Goes_West,Anastasia,Arabian_Knight,Babes_in_Toyland,Balto,Bambi,Beauty_and_the_Beast,Cats_Dont_Dance,Charlottes_Web,Cinderella,Duck_Tales:_The_Movie,Dumbo,Fantasia,Fern_Gully:_The_Last_Rainforest,Fun_and_Fancy_Free,Gumby:_The_Movie,Happily_Ever_After,Hercules,Jetsons:_The_Movie,Kikis_Delivery_Service,Lady_and_the_Tramp,Little_Nemo:_Adventures_in_Slumberland,Mulan,My_Neighbor_Totoro,Oliver_and_Company,Once_Upon_a_Forest,Peter_Pan,Pinocchio,Pippi_Longstocking,Pocahontas,Quest_for_Camelot,Robin_Hood,Sleeping_Beauty,Snoopy_Come_Home,Snow_White_and_the_Seven_Dwarfs,The_Adventures_of_Ichabod_and_Mr._Toad,The_Aristocats,The_Care_Bears_Movie,The_Fox_and_the_Hound,The_Great_Mouse_Detective,The_Hunchback_of_Notre_Dame,The_Jungle_Book,The_King_and_I,The_Land_Before_Time,The_Last_Unicorn,The_Lion_King,The_Little_Mermaid,The_Many_Adventures_of_Winnie_the_Pooh,The_Nutcracker_Prince,The_Pagemaster,The_Pebble_and_the_Penguin,The_Princess_and_the_Goblin,The_Rescuers,The_Rescuers_Down_Under,The_Rugrats_Movie,The_Secret_of_NIMH,The_Swan_Princess,The_Swan_Princess_2,The_Sword_in_the_Stone,The_Three_Caballeros,The_Troll_in_Central_Park,Thumbelina,Tom_and_Jerry:_The_Movie,Toy_Story,Were_Back!_A_Dinosaurs_Story}
@attribute Year numeric
@attribute Length numeric
@attribute Violence_time numeric
@attribute Injuries numeric
@attribute Fatal_injuries numeric
@attribute Good/neutral_injuries numeric
@attribute Good/neutral_fatalities numeric
@attribute Bad_injuries numeric
@attribute binaryClass {P,N}

@data
Snow_White_and_the_Seven_Dwarfs,1937,5040,474,2,1,1,0,1,N
Fantasia,1940,7200,307,1,1,1,1,0,P
Pinocchio,1940,5280,432,1,0,1,0,0,P
Dumbo,1941,3780,75,0,0,0,0,0,P
Bambi,1942,4140,252,2,1,2,1,0,P
The_Three_Caballeros,1945,4260,210,0,0,0,0,0,P
Fun_and_Fancy_Free,1947,4380,552,0,0,0,0,0,P
The_Adventures_of_Ichabod_and_Mr._Toad,1949,4080,527,0,0,0,0,0,P
Cinderella,1950,4560,273,1,1,0,0,1,N
Alice_in_Wonderland,1951,4440,316,0,0,0,0,0,P
Peter_Pan,1953,4560,863,2,1,1,0,1,N
Lady_and_the_Tramp,1955,4560,351,3,1,2,0,1,N
Sleeping_Beauty,1959,4500,599,1,1,0,0,1,N
101_Dalmations,1961,4740,492,0,0,0,0,0,P
The_Sword_in_the_Stone,1963,4740,1012,0,0,0,0,0,P
The_Jungle_Book,1967,4680,676,3,0,3,0,0,P
A_Boy_Named_Charlie_Brown,1969,5100,109,0,0,0,0,0,P
The_Aristocats,1970,4740,354,0,0,0,0,0,P
Snoopy_Come_Home,1972,4800,500,1,0,1,0,0,P
Charlottes_Web,1973,5640,164,0,0,0,0,0,P
Robin_Hood,1973,4980,814,0,0,0,0,0,P
The_Many_Adventures_of_Winnie_the_Pooh,1977,4980,65,0,0,0,0,0,P
The_Rescuers,1977,4560,675,0,0,0,0,0,P
The_Fox_and_the_Hound,1981,4980,717,3,1,2,1,1,P
The_Last_Unicorn,1982,5100,743,5,3,3,1,2,N
The_Secret_of_NIMH,1982,5200,522,4,3,3,2,1,N
The_Care_Bears_Movie,1985,4680,471,0,0,0,0,0,P
An_American_Tail,1986,4860,701,0,0,0,0,0,P
The_Great_Mouse_Detective,1986,4380,798,2,2,0,0,2,N
The_Land_Before_Time,1988,4140,484,3,2,1,1,2,N
Oliver_and_Company,1988,4440,293,6,3,2,0,4,N
All_Dogs_Go_to_Heaven,1989,5340,554,5,3,3,2,2,N
