@relation balance-scale

@attribute left-weight numeric
@attribute left-distance numeric
@attribute right-weight numeric
@attribute right-distance numeric
@attribute binaryClass {P,N}

@data
1,1,1,1,N
1,1,1,2,N
1,1,1,3,N
1,1,1,4,N
1,1,1,5,N
1,1,2,1,N
1,1,2,2,N
1,1,2,3,N
1,1,2,4,N
1,1,2,5,N
1,1,3,1,N
1,1,3,2,N
1,1,3,3,N
1,1,3,4,N
1,1,3,5,N
1,1,4,1,N
1,1,4,2,N
1,1,4,3,N
1,1,4,4,N
1,1,4,5,N
1,1,5,1,N
1,1,5,2,N
1,1,5,3,N
1,1,5,4,N
1,1,5,5,N
1,2,1,1,P
1,2,1,2,N
1,2,1,3,N
1,2,1,4,N
1,2,1,5,N
1,2,2,1,N
1,2,2,2,N
1,2,2,3,N
1,2,2,4,N
1,2,2,5,N
1,2,3,1,N
1,2,3,2,N
1,2,3,3,N
1,2,3,4,N
1,2,3,5,N
1,2,4,1,N
1,2,4,2,N
1,2,4,3,N
1,2,4,4,N
1,2,4,5,N
1,2,5,1,N
1,2,5,2,N
1,2,5,3,N
1,2,5,4,N
1,2,5,5,N
1,3,1,1,P
1,3,1,2,P
1,3,1,3,N
1,3,1,4,N
1,3,1,5,N
1,3,2,1,P
1,3,2,2,N
1,3,2,3,N
1,3,2,4,N
1,3,2,5,N
1,3,3,1,N
1,3,3,2,N
1,3,3,3,N
1,3,3,4,N
1,3,3,5,N
1,3,4,1,N
1,3,4,2,N
1,3,4,3,N
1,3,4,4,N
1,3,4,5,N
1,3,5,1,N
1,3,5,2,N
1,3,5,3,N
1,3,5,4,N
1,3,5,5,N
1,4,1,1,P
1,4,1,2,P
1,4,1,3,P
1,4,1,4,N
1,4,1,5,N
1,4,2,1,P
1,4,2,2,N
1,4,2,3,N
1,4,2,4,N
1,4,2,5,N
1,4,3,1,P
1,4,3,2,N
1,4,3,3,N
1,4,3,4,N
1,4,3,5,N
1,4,4,1,N
1,4,4,2,N
1,4,4,3,N
1,4,4,4,N
1,4,4,5,N
1,4,5,1,N
1,4,5,2,N
1,4,5,3,N
1,4,5,4,N
1,4,5,5,N
1,5,1,1,P
1,5,1,2,P
1,5,1,3,P
1,5,1,4,P
1,5,1,5,N
1,5,2,1,P
1,5,2,2,P
1,5,2,3,N
1,5,2,4,N
1,5,2,5,N
1,5,3,1,P
1,5,3,2,N
1,5,3,3,N
1,5,3,4,N
1,5,3,5,N
1,5,4,1,P
1,5,4,2,N
1,5,4,3,N
1,5,4,4,N
1,5,4,5,N
1,5,5,1,N
1,5,5,2,N
1,5,5,3,N
1,5,5,4,N
1,5,5,5,N
2,1,1,1,P
2,1,1,2,N
2,1,1,3,N
2,1,1,4,N
2,1,1,5,N
2,1,2,1,N
2,1,2,2,N
2,1,2,3,N
2,1,2,4,N
2,1,2,5,N
2,1,3,1,N
2,1,3,2,N
2,1,3,3,N
2,1,3,4,N
2,1,3,5,N
2,1,4,1,N
2,1,4,2,N
2,1,4,3,N
2,1,4,4,N
2,1,4,5,N
2,1,5,1,N
2,1,5,2,N
2,1,5,3,N
2,1,5,4,N
2,1,5,5,N
2,2,1,1,P
2,2,1,2,P
2,2,1,3,P
2,2,1,4,N
2,2,1,5,N
2,2,2,1,P
2,2,2,2,N
2,2,2,3,N
2,2,2,4,N
2,2,2,5,N
2,2,3,1,P
2,2,3,2,N
2,2,3,3,N
2,2,3,4,N
2,2,3,5,N
2,2,4,1,N
2,2,4,2,N
2,2,4,3,N
2,2,4,4,N
2,2,4,5,N
2,2,5,1,N
2,2,5,2,N
2,2,5,3,N
2,2,5,4,N
2,2,5,5,N
2,3,1,1,P
2,3,1,2,P
2,3,1,3,P
2,3,1,4,P
2,3,1,5,P
2,3,2,1,P
2,3,2,2,P
2,3,2,3,N
2,3,2,4,N
2,3,2,5,N
2,3,3,1,P
2,3,3,2,N
2,3,3,3,N
2,3,3,4,N
2,3,3,5,N
2,3,4,1,P
2,3,4,2,N
2,3,4,3,N
2,3,4,4,N
2,3,4,5,N
2,3,5,1,P
2,3,5,2,N
2,3,5,3,N
2,3,5,4,N
2,3,5,5,N
2,4,1,1,P
2,4,1,2,P
2,4,1,3,P
2,4,1,4,P
2,4,1,5,P
2,4,2,1,P
2,4,2,2,P
2,4,2,3,P
2,4,2,4,N
2,4,2,5,N
2,4,3,1,P
2,4,3,2,P
2,4,3,3,N
2,4,3,4,N
2,4,3,5,N
2,4,4,1,P
2,4,4,2,N
2,4,4,3,N
2,4,4,4,N
2,4,4,5,N
2,4,5,1,P
2,4,5,2,N
2,4,5,3,N
2,4,5,4,N
2,4,5,5,N
2,5,1,1,P
2,5,1,2,P
2,5,1,3,P
2,5,1,4,P
2,5,1,5,P
2,5,2,1,P
2,5,2,2,P
2,5,2,3,P
2,5,2,4,P
2,5,2,5,N
2,5,3,1,P
2,5,3,2,P
2,5,3,3,P
2,5,3,4,N
2,5,3,5,N
2,5,4,1,P
2,5,4,2,P
2,5,4,3,N
2,5,4,4,N
2,5,4,5,N
2,5,5,1,P
2,5,5,2,N
2,5,5,3,N
2,5,5,4,N
2,5,5,5,N
3,1,1,1,P
3,1,1,2,P
3,1,1,3,N
3,1,1,4,N
3,1,1,5,N
3,1,2,1,P
3,1,2,2,N
3,1,2,3,N
3,1,2,4,N
3,1,2,5,N
3,1,3,1,N
3,1,3,2,N
3,1,3,3,N
3,1,3,4,N
3,1,3,5,N
3,1,4,1,N
3,1,4,2,N
3,1,4,3,N
3,1,4,4,N
3,1,4,5,N
3,1,5,1,N
3,1,5,2,N
3,1,5,3,N
3,1,5,4,N
3,1,5,5,N
3,2,1,1,P
3,2,1,2,P
3,2,1,3,P
3,2,1,4,P
3,2,1,5,P
3,2,2,1,P
3,2,2,2,P
3,2,2,3,N
3,2,2,4,N
3,2,2,5,N
