%%-*- text -*-
 %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
 % This is a PROMISE Software Engineering Repository data set made publicly
 % available in order to encourage repeatable, verifiable, refutable, and/or
 % improvable predictive models of software engineering.
 %
 % If you publish material based on PROMISE data sets then, please
 % follow the acknowledgment guidelines posted on the PROMISE repository
 % web page http://promise.site.uottawa.ca/SERepository .
 %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

 % 1. Title/Topic: Sakura Editor Software Defect Prediction

 % 2. Sources
 %
 % jEdit Editor Source Code (Java) and its cvs log data
 % from http://sourceforge.net/projects/jedit/
 %
 %
 % Collected by
 %    Shinya Watanabe and Kenji Kaijiri
 %    Shinshu University Japan
 %
 %    Date Feb 1 2008
 %
 %
 % 3. Past Usage
 % "Adapting a Fault Prediction Model to Allow Inter Language Reuse"
 % Shinya Watanabe and Kenji Kaijiri
 % Promise 2008
 %
 % This data is used for the computation of Table 7 in the paper (Intra project
 % prediction) as a training data set.
 %
 % 4. Relevant Information
 %
 % This data set contains metrics data and bug data for each file.
 % One line corressponds to one file.
 % Metrics are computed by Understand C++ metric tool.
 % Bug data is extracted from svn log files and "true" means bug
 % existence and "false"
 % means bug nonexistence.
 %
 % The metrics are computed based on the jEdit release 4-0-final
 % Bugs are computed betwen release release 4-0-final and 4-2-final
 %
 %
 % 5. Number of Instances:275
 %
 %%
 % 6. Number of attributes: 9
 %
 %
 % 7. Attribute information
 % 1st WMC = weighted methods per class
 % 2nd DIT = depth inheritance tree
 % 3rd NOC = number of children
 % 4th CBO = coupling between object classes
 % 5th RFC = response for class
 % 6th LCOM = lack of cohesion metric
 % 7th NPM = number of public methods
 % 8th LOC = lines of code
 % 9th Existence of bug
 %
 % 8. Missin Attributes: None
 %
 %




 @relation jEdit:Metrics/4-0-final/:BugCount/4-0-final_4-2-final/

 @attribute WMC real
 @attribute DIT real
 @attribute NOC real
 @attribute CBO real
 @attribute RFC real
 @attribute LCOM real
 @attribute NPM real
 @attribute LOC real
 @attribute Bug-count {true,false}

 @data
 4,0,2,1,4,0,4,7,false
 5,1,4,9,17,80,5,133,true
 3,6,0,26,630,46,1,465,true
 2,1,0,14,14,50,1,82,true
 4,1,0,15,16,25,4,61,true
 4,1,0,3,16,0,4,17,false
 5,2,0,17,75,51,3,92,true
 1,1,0,8,13,0,1,30,true
 4,2,0,4,24,33,0,25,false
 3,0,6,0,3,100,0,6,false
 6,1,0,5,18,62,5,45,false
 3,2,0,5,23,33,0,28,false
 5,2,0,5,25,72,0,91,false
 5,3,0,5,36,70,5,54,false
 4,1,0,1,16,0,3,18,false
 4,3,0,5,41,91,3,37,false
 5,1,0,5,17,60,3,91,false
 3,2,0,5,23,16,0,43,false
 8,1,0,5,20,96,8,177,false
 4,1,0,0,16,0,3,18,false
 3,3,0,3,69,0,3,15,false
 5,3,0,5,38,70,5,54,false
 3,2,0,4,23,0,0,37,false
 3,2,0,5,23,33,0,38,false
 5,2,0,7,25,9,0,72,false
 3,2,0,3,23,0,0,11,false
 5,2,0,5,25,30,0,38,false
 5,1,0,5,17,62,3,83,false
 4,1,0,1,16,16,3,20,false
 3,2,0,3,23,33,0,25,false
 4,2,0,3,24,50,0,25,false
 14,1,0,6,26,65,10,104,false
 7,2,0,5,27,46,0,123,false
 8,1,13,3,20,75,0,35,false
 46,2,1,34,66,95,26,666,false
 2,2,0,12,33,0,1,75,false
 6,0,1,3,6,0,6,8,false
 2,2,0,13,33,0,1,32,false
 12,1,0,4,24,48,0,80,false
 2,2,0,7,33,100,1,24,false
 3,2,0,9,34,58,2,49,false
 2,2,0,6,33,66,1,16,false
 4,2,0,10,35,0,2,67,false
 4,2,0,9,26,75,2,70,false
 2,2,0,5,33,0,1,12,false
 4,3,0,6,37,75,4,41,false
 7,1,1,0,7,0,7,10,false
 6,2,0,8,37,55,5,46,false
 0,0,1,1,0,0,0,77,false
 4,1,0,5,16,0,4,57,false
 2,2,0,6,33,0,2,53,false
 2,2,0,4,33,0,1,15,false
 2,2,0,6,33,50,1,47,false
 43,1,0,16,55,87,28,536,true
 2,2,0,3,33,0,1,12,false
 10,1,2,11,22,66,7,73,false
 86,2,0,37,108,0,84,146,false
 8,2,0,20,39,0,1,113,false
