@relation analcatdata-reviewer

@attribute Film {101_DALMATIONS,12_MONKEYS,2_DAYS_IN_THE_VALLEY,ABSOLUTE_POWER,ACE_VENTURA:WHEN_NATURE_CALLS,ALASKA,ALBINO_ALLIGATOR,AMERICAN_BUFFALO,ANGELS_&_INSECTS,ANGEL_BABY,ANGUS,ANNE_FRANK_REMEMBERED,ASSASSINS,AUGUST,A_FAMILY_THING,A_GOOFY_MOVIE,A_MIDWINTERS_TALE,A_MONTH_BY_THE_LAKE,A_REASON_TO_BELIEVE,A_THIN_LINE_BETWEEN_LOVE&HATE,A_TIME_TO_KILL,A_VERY_BRADY_SEQUEL,BAD_BOYS,BALTO,BARB_WIRE,BASQUIAT,BEAUTIFUL_GIRLS,BEAUTIFUL_THING,BEAVIS&BUTTHEAD_DO_AMERICA,BED_OF_ROSES,BEFORE_AND_AFTER,BIG_NIGHT,BLACK_SHEEP,BLOOD_AND_WINE,BLUE_IN_THE_FACE,BOGUS,BOOTY_CALL,BOTTLE_ROCKET,BOUND,BOYS,BOYS_LIFE_2,BREAKING_THE_WAVES,BREATHING_ROOM,BROKEN_ARROW,BULLETPROOF,BURNT_BY_THE_SUN,BUTTERFLY_KISS,CANADIAN_BACON,CARRIED_AWAY,CARRINGTON,CASINO,CAUGHT,CELESTIAL_CLOCKWORK,CELTIC_PRIDE,CHAIN_REACTION,CITIZEN_RUTH,CITY_HALL,CITY_OF_INDUSTRY,CITY_OF_LOST_CHILDREN,CLOCKERS,COLD_COMFORT_FARM,COPYCAT,COURAGE_UNDER_FIRE,CRASH,CRY_THE_BELOVED_COUNTRY,CUTTHROAT_ISLAND,DANGEROUS_GROUND,DANTES_PEAK,DAYLIGHT,DEAD_MAN,DEAD_MAN_WALKING,DEAD_PRESIDENTS,DEAR_GOD,DEVIL_IN_A_BLUE_DRESS,DIABOLIQUE,DONNIE_BRASCO,DON_JUAN_DEMARCO,DOWN_PERISCOPE,DRACULA:DEAD_AND_LOVING_IT,DRAGONHEART,DRUNKS,DUNSTON_CHECKS_IN,ED,EDDIE,EDS_NEXT_MOVE,EMMA,ERASER,ESCAPE_FROM_L.A.,EVERYONE_SAYS_I_LOVE_YOU,EVITA,EXECUTIVE_DECISION,EXTREME_MEASURES,EYE_FOR_AN_EYE,FAIR_GAME,FAITHFUL,FARGO,FATHER_OF_THE_BRIDE_PART_2,FEAR,FEAST_OF_JULY,FEELING_MINNESOTA,FIERCE_CREATURES,FLED,FLIPPER,FLIPPING,FLIRTING_WITH_DISASTER,FLY_AWAY_HOME,FOLLOW_ME_HOME,FOOLS_RUSH_IN,FOXFIRE,FRANKIE_STARLIGHT,FRENCH_TWIST,FROM_DUSK_TIL_DAWN,FROM_THE_JOURNALS_OF_JEAN_S,GENTLEMEN_DONT_EAT_BLONDS,GEORGIA,GETTING_AWAY_WITH_MURDER,GET_ON_THE_BUS,GET_SHORTY,GHOSTS_OF_MISSISSIPPI,GHOST_IN_THE_SHELL,GIRLS_TOWN,GIRL_6,GOLDENEYE,GOLD_DIGGERS,GRACE_OF_MY_HEART,GRAYS_ANATOMY,GRUMPIER_OLD_MEN,HACKERS,HAMLET,HAPPY_GILMORE,HARD_EIGHT,HARRIET_THE_SPY,HATE,HEAT,HEAVENS_PRISONERS,HEAVY,HIGH_SCHOOL_HIGH,HOMAGE,HOMEWARD_BOUND_2,HOME_FOR_THE_HOLIDAYS,HORSEMAN_ON_THE_ROOF,HOTEL_DE_LOVE,HOUSE_ARREST,HOW_TO_MAKE_AN_AMERICAN_QUILT,HUNCHBACK_OF_NOTRE_DAME,IF_LUCY_FELL,IM_NOT_RAPPAPORT,INDEPENDENCE_DAY,INFINITY,IN_LOVE_AND_WAR,ITS_MY_PARTY,IT_TAKES_TWO,I_SHOT_ANDY_WARHOL,JACK,JACK_&_SARAH,JADE,JAMES_&_THE_GIANT_PEACH,JANE_EYRE,JERRY_MAGUIRE,JINGLE_ALL_THE_WAY,JOURNEY_OF_AUGUST_KING,JUDE,JUMANJI,JUNGLE_2_JUNGLE,JURY_DUTY,KAMA_SUTRA:_A_TALE_OF_LOVE,KANSAS_CITY,KAZAAM,KICKING_AND_SCREAMING,KIDS_IN_THE_HALL:BRAIN_CANDY,KINGPIN,KISS_OF_DEATH,LAND_AND_FREEDOM,LARGER_THAN_LIFE,LAST_DANCE,LAST_MAN_STANDING,LA_CEREMONIE,LEAVING_LAS_VEGAS,LES_MISERABLES,LIAR_LIAR,LITTLE_INDIAN_BIG_CITY,LOADED,LONE_STAR,LOOKING_FOR_RICHARD,LOSING_CHASE,LOST_HIGHWAY,LOVE_JONES,MAD_DOG_TIME,MAGIC_HUNTER,MALLRATS,MANDELA:_SON_OF_AFRICA...,MANNY_&_LO,MARGARETS_MUSEUM,MARS_ATTACKS!,MARVINS_ROOM,MARY_REILLY,MATILDA,MAYBE...MAYBE_NOT,MA_SAISON_PREFEREE,METRO,MICHAEL,MICHAEL_COLLINS,MIGHTY_APHRODITE,MISSION_IMPOSSIBLE,MOLL_FLANDERS,MONEY_TRAIN,MOONLIGHT_&_VALENTINO,MOTHER,MOTHER_NIGHT,MR._HOLLANDS_OPUS,MR._WRONG,MRS._WINTERBOURNE,MULHOLLAND_FALLS,MULTIPLICITY,MUPPET_TREASURE_ISLAND,MUTE_WITNESS,MYSTERY_SCIENCE_THEATER_3000,MY_FELLOW_AMERICANS,NEW_JERSEY_DRIVE,NICK_OF_TIME,NICO-ICON,NIXON,NOW_AND_THEN,ONCE_UPON_A_TIME_...,ONE_FINE_DAY,OPEN_SEASON,OTHELLO,PALOOKAVILLE,PERSUASION,PHENOMENON,POWDER,PREFONTAINE,PRIMAL_FEAR,PRISONER_OF_THE_MOUNTAINS,PRIVATE_PARTS,RACE_THE_SUN,RANSOM,RECKLESS,RED_FIRECRACKER_GREEN_FIREC,RESTORATION,RETURN_OF_THE_JEDI,RHYME_&_REASON,RICHARD_III,RIDICULE,ROB_ROY,ROMEO_AND_JULIET,ROSEWOOD,RUMBLE_IN_THE_BRONX,SABRINA,SCREAM,SCREAMERS,SECRETS_&_LIES,SELENA,SENSE_AND_SENSIBILITY,SET_IT_OFF,SEVEN,SGT._BILKO,SHANGHAI_TRIAD,SHES_THE_ONE,SHINE,SHOWGIRLS,SLEEPERS,SLING_BLADE,SMILLAS_SENSE_OF_SNOW,SOMEONE_ELSES_AMERICA,SOME_MOTHERS_SON,SPACE_JAM,SPY_HARD,STAR_TREK:FIRST_CONTACT,STEALING_BEAUTY,STEAL_BIG_STEAL_LITTLE,STONEWALL,STRANGE_DAYS,STRIPTEASE,STUART_SAVES_HIS_FAMILY,SUBURBIA,SUDDEN_DEATH,SUNSET_PARK,SURVIVING_PICASSO,SWEET_NOTHING,SWINGERS,THAT_DARN_CAT,THAT_THING_YOU_DO!,THE_ADDICTION,THE_ADVENTURES_OF_PINOCCHIO,THE_AMERICAN_PRESIDENT,THE_ARRIVAL,THE_ASSOCIATE,THE_BASKETBALL_DIARIES,THE_BEAUTICIAN_AND_THE_BEAST,THE_BIG_SQUEEZE,THE_BIRDCAGE,THE_CABLE_GUY,THE_CELLULOID_CLOSET,THE_CHAMBER,THE_CRAFT,THE_CROSSING_GUARD,THE_CRUCIBLE,THE_CURE,THE_DAYTRIPPERS,THE_DOOM_GENERATION,THE_EIGHTH_DAY,THE_EMPIRE_STRIKES_BACK,THE_ENGLISH_PATIENT,THE_EVENING_STAR,THE_FAN,THE_FIRST_WIVES_CLUB,THE_FLOWER_OF_MY_SECRET,THE_FRIGHTENERS,THE_FUNERAL,THE_GHOST_AND_THE_DARKNESS,THE_GODFATHER,THE_GRASS_HARP,THE_GREAT_WHITE_HYPE,THE_ISLAND_OF_DR._MOREAU,THE_JUROR,THE_LAST_GOOD_TIME,THE_LAST_SUPPER,THE_LINE_KING,THE_LONG_KISS_GOODNIGHT,THE_MIRROR_HAS_TWO_FACES,THE_MONSTER,THE_NEON_BIBLE,THE_NUTTY_PROFESSOR,THE_PALLBEARER,THE_PEBBLE_AND_THE_PENGUIN,THE_PEOPLE_VS_LARRY_FLYNT,THE_PHANTOM,THE_POMPATUS_OF_LOVE,THE_PORTRAIT_OF_A_LADY,THE_PREACHERS_WIFE,THE_QUEST,THE_QUIET_ROOM,THE_RELIC,THE_RICH_MANS_WIFE,THE_ROCK,THE_RUN_OF_THE_COUNTRY,THE_SCARLET_LETTER,THE_SEARCH_FOR_1-EYED_JIMMY,THE_SECRET_AGENT,THE_SPITFIRE_GRILL,THE_STAR_MAKER,THE_SUBSTANCE_OF_FIRE,THE_SUBSTITUTE,THE_TRUTH_ABOUT_CATS_&_DOGS,THE_UMBRELLAS_OF_CHARBOURG,THE_WAR_AT_HOME,THE_WHOLE_WIDE_WORLD,THE_YOUNG_POISONERS_HANDBOOK,THINGS_TO_DO_IN_DENVER...,THREE_WISHES,TIN_CUP,TOTAL_ECLIPSE,TOUCH,TOY_STORY,TO_DIE_FOR,TO_GILLIAN_ON_HER_37TH_BDAY,TO_WONG_FOO_THANKS_FOR...,TRAINSPOTTING,TREES_LOUNGE,TROMEO_AND_JULIET,TURBULENCE,TWELFTH_NIGHT,TWISTER,TWO_BITS,TWO_MUCH,UNDER_THE_DOMIN_TREE,UNFORGETTABLE,UNHOOK_THE_STARS,UNSTRUNG_HEROES,UP_CLOSE_&_PERSONAL,VAMPIRE_IN_BROOKLYN,WAITING_TO_EXHALE,WALKING_&_TALKING,WELCOME_TO_THE_DOLLHOUSE,WHEN_WE_WERE_KINGS,WHITE_MANS_BURDEN,WHITE_SQUALL,WILD_BILL}
@attribute Roger_Ebert {Con,Mixed,Pro}
@attribute Jeffrey_Lyons {Con,Mixed,Pro}
@attribute Michael_Medved {Con,Mixed,Pro}
@attribute Rex_Reed {Con,Mixed,Pro}
@attribute Gene_Shalit {Con,Mixed,Pro}
@attribute Joel_Siegel {Con,Mixed,Pro}
@attribute Gene_Siskel {Con,Mixed,Pro}
@attribute binaryClass {P,N}

@data
101_DALMATIONS,?,Pro,Mixed,Pro,?,Pro,?,N
12_MONKEYS,Pro,Con,Con,Con,?,Pro,Mixed,P
2_DAYS_IN_THE_VALLEY,?,Pro,Con,Con,?,?,?,N
A_FAMILY_THING,Pro,Mixed,Mixed,Pro,Pro,?,Pro,N
A_GOOFY_MOVIE,Pro,?,?,?,?,?,Pro,P
A_MIDWINTERS_TALE,Pro,Pro,?,?,?,?,Pro,N
A_MONTH_BY_THE_LAKE,Pro,Pro,?,Pro,?,?,?,N
A_REASON_TO_BELIEVE,?,?,?,Pro,?,?,?,P
A_THIN_LINE_BETWEEN_LOVE&HATE,Mixed,Con,?,Con,?,?,?,P
A_TIME_TO_KILL,?,Pro,Mixed,Mixed,?,?,Mixed,N
A_VERY_BRADY_SEQUEL,Mixed,?,Con,?,?,?,Pro,N
ABSOLUTE_POWER,Pro,Pro,Con,Con,Mixed,Pro,Mixed,N
ACE_VENTURA:WHEN_NATURE_CALLS,Con,?,?,?,?,Con,Con,P
ALASKA,Pro,Pro,Mixed,Pro,?,Con,Con,P
ALBINO_ALLIGATOR,Mixed,Con,Pro,?,?,?,?,N
AMERICAN_BUFFALO,Mixed,?,?,?,?,Pro,?,N
ANGEL_BABY,?,Mixed,?,Pro,?,?,?,P
ANGELS_&_INSECTS,Pro,Mixed,Pro,Pro,?,?,?,N
ANGUS,Pro,?,?,?,?,?,Mixed,N
ANNE_FRANK_REMEMBERED,?,Pro,?,?,?,?,?,N
ASSASSINS,Con,Con,Pro,?,?,Mixed,Con,P
AUGUST,?,Mixed,?,?,?,?,?,N
BAD_BOYS,Con,?,?,?,?,?,Con,N
BALTO,Pro,Pro,Pro,?,?,Mixed,Con,P
BARB_WIRE,?,Con,?,?,?,?,?,P
BASQUIAT,?,Pro,?,Con,?,Pro,?,N
BEAUTIFUL_GIRLS,Pro,Mixed,Pro,Con,?,?,?,N
BEAUTIFUL_THING,?,Mixed,?,Pro,?,?,?,N
BEAVIS&BUTTHEAD_DO_AMERICA,?,?,?,?,?,Con,?,N
BED_OF_ROSES,Mixed,Con,Con,Pro,?,?,?,P
BEFORE_AND_AFTER,Mixed,Mixed,?,Con,Con,Con,Con,P
BIG_NIGHT,?,?,Pro,Pro,?,Pro,?,N
BLACK_SHEEP,?,Con,?,?,?,Con,?,P
BLOOD_AND_WINE,?,Pro,Con,Con,?,Pro,?,N
BLUE_IN_THE_FACE,Mixed,Mixed,?,Con,?,Pro,?,P
BOGUS,Pro,Mixed,?,Con,?,Con,Mixed,P
BOOTY_CALL,?,Con,?,?,?,?,?,P
BOTTLE_ROCKET,?,?,?,?,Pro,?,?,N
BOUND,?,Con,?,?,?,?,?,N
BOYS,?,Con,?,Con,?,?,?,P
BOYS_LIFE_2,?,?,?,?,?,?,?,N
BREAKING_THE_WAVES,?,?,?,Pro,?,Pro,?,P
BREATHING_ROOM,?,Mixed,?,Con,?,?,?,P
BROKEN_ARROW,Mixed,Mixed,Mixed,Mixed,Mixed,?,Mixed,N
BULLETPROOF,?,Con,?,Con,?,Pro,?,P
BURNT_BY_THE_SUN,Con,?,?,Pro,?,?,Mixed,N
BUTTERFLY_KISS,Pro,?,?,?,?,?,?,N
CANADIAN_BACON,?,?,Con,Con,?,?,?,P
CARRIED_AWAY,?,?,Con,?,?,?,?,N
CARRINGTON,?,Con,?,Pro,Pro,Con,?,N
CASINO,Pro,Mixed,Con,Con,Pro,Pro,?,N
CAUGHT,?,Pro,?,Pro,?,?,?,N
CELESTIAL_CLOCKWORK,?,Pro,?,?,?,?,?,N
CELTIC_PRIDE,Mixed,?,Con,?,?,?,Mixed,P
CHAIN_REACTION,Mixed,Con,Con,?,?,?,Mixed,P
CITIZEN_RUTH,?,Pro,Con,?,?,?,?,N
CITY_HALL,Mixed,Mixed,Con,Mixed,Pro,?,Mixed,N
CITY_OF_INDUSTRY,Con,Con,?,?,?,Con,Mixed,N
CITY_OF_LOST_CHILDREN,Pro,Pro,?,?,?,?,?,N
CLOCKERS,Pro,?,Pro,Con,?,Pro,Pro,N
COLD_COMFORT_FARM,Pro,Pro,?,Pro,Pro,Pro,Pro,N
COPYCAT,Pro,Pro,?,Pro,?,Pro,Con,P
COURAGE_UNDER_FIRE,?,Pro,Mixed,Pro,Pro,Pro,?,N
CRASH,?,Con,?,Con,?,Con,Mixed,N
CRY_THE_BELOVED_COUNTRY,?,?,Pro,Pro,?,?,?,N
CUTTHROAT_ISLAND,Pro,Con,Mixed,Con,?,Con,Con,P
DANGEROUS_GROUND,?,Con,?,Con,?,?,?,P
DANTES_PEAK,Mixed,Pro,Pro,?,Con,Con,Mixed,P
DAYLIGHT,Mixed,?,Mixed,?,?,Mixed,Mixed,P
DEAD_MAN,Con,?,?,?,?,?,?,P
DEAD_MAN_WALKING,Pro,Pro,?,Pro,?,Pro,Pro,P
DEAD_PRESIDENTS,Mixed,Mixed,?,Con,?,Con,Con,N
DEAR_GOD,Con,?,Con,Mixed,?,?,Con,P
DEVIL_IN_A_BLUE_DRESS,Pro,?,Pro,Pro,?,Pro,Pro,P
DIABOLIQUE,Mixed,Con,?,?,?,Con,Pro,P
DON_JUAN_DEMARCO,Con,Pro,?,?,Mixed,Pro,Pro,N
DONNIE_BRASCO,Pro,Pro,?,Pro,Pro,Pro,Pro,N
DOWN_PERISCOPE,Pro,?,?,?,?,?,Con,P
DRACULA:DEAD_AND_LOVING_IT,Con,Mixed,Con,?,?,Pro,Con,P
DRAGONHEART,Pro,Pro,Mixed,Mixed,Pro,Con,?,P
DRUNKS,?,?,Con,?,?,?,?,P
DUNSTON_CHECKS_IN,?,Pro,Pro,Con,?,?,?,N
ED,?,Con,Con,?,?,?,?,P
EDDIE,Con,?,?,?,?,?,Pro,P
EDS_NEXT_MOVE,?,Mixed,?,?,?,?,?,N
EMMA,Pro,Pro,Pro,?,?,Pro,Pro,N
ERASER,Pro,Con,?,Con,Pro,Pro,Pro,N
ESCAPE_FROM_L.A.,Pro,Pro,Con,?,?,Con,Mixed,N
EVERYONE_SAYS_I_LOVE_YOU,Pro,?,Pro,Con,?,Pro,Mixed,N
EVITA,?,Pro,Mixed,Pro,Con,Pro,?,N
EXECUTIVE_DECISION,Pro,?,Mixed,?,?,Mixed,Pro,N
EXTREME_MEASURES,?,Pro,?,Mixed,?,Con,?,P
EYE_FOR_AN_EYE,Con,Pro,Mixed,Mixed,?,?,?,P
FAIR_GAME,Con,?,?,?,?,?,Con,P
FAITHFUL,Mixed,Mixed,?,Con,?,?,?,P
FARGO,Pro,Pro,?,Pro,Pro,Pro,?,N
FATHER_OF_THE_BRIDE_PART_2,Mixed,Mixed,Mixed,?,?,?,Pro,N
FEAR,?,Con,?,Mixed,?,Con,?,P
FEAST_OF_JULY,Con,Pro,Pro,?,?,?,?,P
FEELING_MINNESOTA,Pro,?,Con,Con,?,?,?,P
FIERCE_CREATURES,Mixed,Pro,Pro,Mixed,?,Con,Pro,N
FLED,Mixed,Con,?,?,?,Mixed,Con,P
FLIPPER,?,Pro,Pro,Con,?,?,?,N
FLIPPING,?,?,?,?,?,?,?,P
FLIRTING_WITH_DISASTER,Pro,Pro,?,?,?,?,Pro,N
FLY_AWAY_HOME,Pro,Pro,Mixed,Pro,?,Pro,Pro,N
FOLLOW_ME_HOME,?,Pro,?,?,?,?,?,P
FOOLS_RUSH_IN,?,Pro,Pro,Pro,?,?,?,P
FOXFIRE,?,Con,?,?,?,?,?,P
FRANKIE_STARLIGHT,Pro,Pro,?,Pro,?,?,?,P
FRENCH_TWIST,Con,Mixed,?,?,?,?,Con,N
FROM_DUSK_TIL_DAWN,Pro,?,?,Con,?,?,?,N
FROM_THE_JOURNALS_OF_JEAN_S,?,?,?,Pro,?,?,?,N
GENTLEMEN_DONT_EAT_BLONDS,?,Con,Con,Pro,?,?,?,N
GEORGIA,?,?,?,Pro,?,?,?,N
GET_ON_THE_BUS,?,Pro,?,?,?,?,Pro,N
GET_SHORTY,Pro,Pro,Pro,Pro,?,Pro,Pro,N
GETTING_AWAY_WITH_MURDER,Mixed,?,?,?,?,?,Mixed,P
GHOST_IN_THE_SHELL,Pro,?,?,?,?,?,Pro,P
GHOSTS_OF_MISSISSIPPI,?,Pro,Pro,Mixed,?,Pro,?,P
GIRL_6,?,?,?,?,?,Pro,?,P
GIRLS_TOWN,Pro,?,?,?,?,?,Pro,P
GOLD_DIGGERS,Mixed,Mixed,Con,Con,?,?,Con,P
GOLDENEYE,?,Pro,?,Con,?,Con,?,N
GRACE_OF_MY_HEART,Mixed,Pro,?,?,?,Mixed,?,N
GRAYS_ANATOMY,?,Pro,?,Con,?,?,?,N
GRUMPIER_OLD_MEN,Con,Pro,?,Pro,?,Pro,Mixed,P
HACKERS,Pro,?,?,?,?,?,?,P
HAMLET,Pro,Pro,?,?,?,?,Pro,N
HAPPY_GILMORE,Con,Con,?,?,?,?,Mixed,P
HARD_EIGHT,Pro,Pro,Mixed,?,?,?,Pro,N
HARRIET_THE_SPY,?,Con,Mixed,?,?,Pro,Mixed,N
HATE,Pro,?,?,?,?,?,?,P
HEAT,Pro,?,?,Mixed,Mixed,Pro,Pro,N
HEAVENS_PRISONERS,?,Pro,?,Mixed,?,?,?,P
HEAVY,?,Con,?,?,?,?,?,N
HIGH_SCHOOL_HIGH,?,Con,?,Con,?,Mixed,?,P
HOMAGE,?,Pro,?,Pro,?,?,?,P
HOME_FOR_THE_HOLIDAYS,Pro,Con,Pro,Pro,?,Con,Pro,N
HOMEWARD_BOUND_2,Mixed,Pro,Mixed,?,?,?,Mixed,P
HORSEMAN_ON_THE_ROOF,Pro,Mixed,Pro,Con,?,?,Pro,N
HOTEL_DE_LOVE,Mixed,Pro,?,?,?,?,Mixed,N
HOUSE_ARREST,?,Con,Mixed,Con,?,Con,Con,P
HOW_TO_MAKE_AN_AMERICAN_QUILT,Con,Pro,Con,Pro,?,Mixed,Mixed,P
