@relation balloon

@attribute id numeric
@attribute raw numeric
@attribute binaryClass {P,N}

@data
1,1.76,N
2,1.76,N
3,1.76,N
4,1.76,N
5,1.74,N
6,1.72,N
7,1.68,P
8,1.68,P
9,1.76,N
10,1.84,N
11,1.84,N
12,1.86,N
13,1.86,N
14,1.88,N
15,1.88,N
16,1.84,N
17,1.76,P
18,1.66,P
19,1.76,P
20,1.82,N
21,1.78,P
22,1.84,N
23,1.88,N
24,1.94,N
25,1.94,N
26,1.9,N
27,1.9,N
28,1.92,N
29,1.92,N
30,1.92,N
31,1.94,N
32,1.94,N
33,1.92,N
34,1.96,N
35,1.66,P
36,1.92,N
37,1.94,N
38,1.92,N
39,1.86,N
40,1.76,P
41,1.8,P
42,1.86,N
43,1.94,N
44,1.94,N
45,1.9,N
46,1.92,N
47,1.92,N
48,1.94,N
49,1.92,N
50,1.92,N
51,1.94,N
52,1.92,N
53,1.96,N
54,2,N
55,1.94,N
56,1.92,N
57,1.94,N
58,1.92,N
59,1.8,P
60,1.78,P
61,1.78,P
62,1.86,P
63,1.92,N
64,1.94,N
65,1.94,N
66,1.96,N
67,1.96,N
68,1.96,N
69,1.96,N
70,1.96,N
71,1.96,N
72,1.94,N
73,1.94,N
74,1.92,N
75,1.88,P
76,1.86,P
77,1.8,P
78,1.8,P
79,1.84,P
80,1.68,P
81,1.88,P
82,1.92,N
83,1.96,N
84,1.96,N
85,1.94,N
86,1.96,N
87,2,N
88,2,N
89,1.98,N
90,1,P
91,1.94,N
92,1.96,N
93,1.96,N
94,1.96,N
95,1.96,N
96,1.94,N
97,1.94,N
98,1.94,N
99,1.94,N
100,1.96,N
101,1.96,N
102,1.96,N
103,1.96,N
104,1.96,N
105,1.96,N
106,1.96,N
107,1.96,N
108,1.96,N
109,1.96,N
110,1.96,N
111,1.96,N
112,1.96,N
113,1.96,N
114,1.98,N
115,1.96,N
116,1.96,N
117,2,N
118,2.02,N
119,1.98,N
120,1.96,N
121,1.98,N
122,1.96,N
123,1.92,N
124,1.74,P
125,1.8,P
126,1.86,P
127,1.9,P
128,1.96,N
129,2,N
130,2,N
131,1.98,N
132,1.94,N
133,1.92,N
134,1.94,N
135,1.98,N
136,1.62,P
137,1.98,N
138,1.96,N
139,1.96,N
140,1.98,N
141,2,N
142,2,N
143,2,N
144,2,N
145,2,N
146,2,N
147,2,N
148,1.98,N
149,1.98,N
150,1.58,P
151,2,N
152,2,N
153,2.02,N
154,2.04,N
155,2.04,N
156,2,N
157,1.98,N
158,2,N
159,2,N
160,1.96,N
161,1.9,P
162,1.82,P
163,1.9,P
164,2,N
165,2,N
166,1.94,N
167,2,N
168,2,N
169,1.98,N
170,2,N
171,2,N
172,1.54,P
173,2.02,N
174,2.04,N
175,2.04,N
176,2.04,N
177,2.04,N
178,1.94,N
179,1.82,P
180,2.02,N
181,2.04,N
182,2.04,N
